,id,year,shapeName,inv,ob_f_,tec_f_,adm_f_,ob_m_,tec_m_,adm_m_,ent,ele,com,inf,wat,tss,buiilt,ocu,sal_op,sal_tec,pop,prep,temp,agr_,urb_,ntl_,egdp,len,sez,egdppc,lnegdppc,ntlpc,lnntlpc,new_var
75,75,2000,Villa Altagracia,33900000.0,2476.0,15.0,131.0,362.0,41.0,106.0,2.0,4272000.0,0.0,793343.19,72000.0,7560000.0,202317.26,191273.93,702.0,1250.0,74151.60156,153.3916704,0.0,0.0,0.0,0.0515245934386003,251.8339834792941,12.0,1,1000000.0033962042,13.815510561360478,1000000.0000006949,13.815510557964968,1
76,76,2000,Azua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91529.92969,98.47443872,0.0,0.0,0.0,0.1231514980775711,562.1428286228111,0.0,0,1000000.0061416285,13.815510564105903,1000000.0000013455,13.81551055796562,0
77,77,2000,Sabana Larga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10470.85059,148.5519246,0.0,0.0,0.0,0.0023810495927228,84.03715823351169,0.0,0,1000000.0080258197,13.815510565990094,1000000.0000002274,13.815510557964501,0
78,78,2000,SÃ¡nchez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26568.88477,178.0511867,0.0,0.0,0.0,0.0086558455584899,80.57603257391968,0.0,0,1000000.0030327217,13.815510560996996,1000000.0000003258,13.8155105579646,0
79,79,2000,San JosÃ© De Las Matas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37935.82813,132.0331156,0.0,0.0,0.0,0.0032136166865476,356.64516626245825,0.0,0,1000000.0094012753,13.81551056736555,1000000.0000000848,13.815510557964359,0
80,80,2000,LuperÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17295.85547,125.9946091,0.0,0.0,0.0,0.0042843978177323,66.31318010325526,0.0,0,1000000.0038340503,13.815510561798325,1000000.0000002477,13.815510557964522,0
81,81,2000,Comendador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29428.45508,122.9332721,0.0,0.0,0.0,0.0046781075945243,95.34453590202568,0.0,0,1000000.0032398757,13.81551056120415,1000000.000000159,13.815510557964434,0
82,82,2000,Los Llanos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21599.07813,132.0462767,0.0,0.0,0.0,0.0246274081707172,237.67786286303803,0.0,0,1000000.0110040744,13.815510568968348,1000000.0000011402,13.815510557965414,0
84,84,2000,GuayubÃ­n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26136.13086,87.40833616,0.0,0.0,0.0,0.0062509153016313,174.01028528149217,0.0,0,1000000.0066578442,13.815510564622118,1000000.0000002391,13.815510557964513,0
85,85,2000,Santo Domingo EsteSanto Domingo EsteSanto Domingo Este,77433460.9,4315.0,1239.0,239.0,3729.0,747.0,207.0,37.0,38973535.55,0.0,6086783.2299999995,1803346.81,24015560.75,1314600.0,1195245.0,435.17,930.6333333333332,704305.75,130.3679196,0.0,0.0,0.0,8.65376191973313,3207.4388654545237,8.666666666666666,1,1000000.0045540433,13.815510562518318,1000000.0000122869,13.81551055797656,1
