,code,name,latitude,longitude,start,close,type,year,Administrativos (femeninos),Administrativos (masculinos),Gastos: Agua,Gastos: Electricidad,Gastos: Infotep,Gastos: TSS,Gastos: Telecomunicaciones,Inversion Acumulada,Naves Construidas,Naves Ocupadas,Numero de Empresas,Obreros (femeninos),Obreros (masculinos),Salario Operarios,Salario Tecnicos,Tecnicos (femeninos),Tecnicos (masculinos)
1417,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1418,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1419,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1420,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1422,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1423,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2012,4.0,14.0,67184.0,1904171.69,169376.0,5977094.35,691475.94,3200000.0,66635.7,66635.7,2.0,119.0,147.0,1600.0,2250.0,6.0,3.0
1424,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2013,,,109114.0,3007786.0,335147.0,7223336.71,833279.05,4000000.0,66635.7,66635.7,2.0,,,2850.0,3625.0,,
1425,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2014,12.0,5.0,178068.0,2404431.0,406436.0,8837135.14,681447.0,3875000.0,66635.7,66635.7,1.0,151.0,132.0,1850.0,4100.0,7.0,8.0
1426,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2015,8.0,3.0,178492.17,2062396.65,263429.26,5636840.71,708673.57,3675420.2,66635.7,66635.7,1.0,71.0,83.0,1850.0,4745.0,2.0,8.0
1427,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2016,8.0,4.0,178.49,2062.4,263.43,7043.4,708.67,4726408.12,66635.7,66635.7,1.0,91.0,102.0,2100.0,5150.0,2.0,9.0
1445,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2000,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48561.0,16187.0,1.0,84.0,53.0,570.0,850.0,2.0,6.0
1446,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2001,8.0,4.0,60000.0,0.0,79024.0,790246.0,0.0,1100000.0,32375.0,32375.0,1.0,237.0,7.0,610.0,1600.0,0.0,9.0
1447,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2002,0.0,7.0,36000.0,0.0,80000.0,480000.0,0.0,1000000.0,48561.0,32374.0,1.0,268.0,3.0,649.0,1200.0,0.0,11.0
