,code,name,latitude,longitude,start,close,type,variable,value,category,year,category_full
21305,DOM-TAL,Intercontinental ,18.56054395,-70.07035003,2015.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21306,DOM-TAM,Tamboril ,19.48142597,-70.63333181,1997.0,0.0,private,buiilt_2006,216000.0,buiilt,2006,Naves Construidas
21307,DOM-VEG,La Vega ,19.24673204,-70.55649026,1987.0,0.0,public,buiilt_2006,1208176.0,buiilt,2006,Naves Construidas
21308,DOM-VER,Luperon Verde ,19.79325036,-70.68090459,2019.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21309,DOM-VIS,Bella Vista ,18.61321459,-69.70844704,2004.0,0.0,private,buiilt_2006,444890.0,buiilt,2006,Naves Construidas
21310,DOM-YAQ,Parque Industrial y de Servicios Yaque,19.46972418,-70.71437329,2010.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21311,DOM-ZOF,Zofinma (Mao),19.5539567,-71.09162809,1993.0,2006.0,private,buiilt_2006,38000.0,buiilt,2006,Naves Construidas
21312,DOM-6NO,Zona Franca 6 de Noviembre ,18.43423576,-70.07709655,2016.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21313,DOM-ALC,Los Alcarrizos ,18.52119218,-70.05086541,1990.0,0.0,public,buiilt_2007,563307.0,buiilt,2007,Naves Construidas
21314,DOM-ALT,Villa Altagracia ,18.68704785,-70.18063175,1988.0,0.0,private,buiilt_2007,225375.63,buiilt,2007,Naves Construidas
21315,DOM-AND,Andres,18.44233642,-69.64978048,2009.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21316,DOM-ARM,La Armeria ,18.42129421,-70.11766012,1990.0,0.0,public,buiilt_2007,337529.0,buiilt,2007,Naves Construidas
21317,DOM-AZU,Azua,0.0,0.0,2001.0,2004.0,public,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21318,DOM-BAN,Bani,18.25315476,-70.40511741,1986.0,0.0,private,buiilt_2007,380148.0,buiilt,2007,Naves Construidas
21319,DOM-BAR,Barahona ,18.22153648,-71.10145235,1989.0,0.0,public,buiilt_2007,276405.0,buiilt,2007,Naves Construidas
21320,DOM-BAY,Bayaguana,0.0,0.0,1999.0,2007.0,public,buiilt_2007,32356.0,buiilt,2007,Naves Construidas
21321,DOM-BON,Bonao ,18.92425177,-70.40416473,1988.0,0.0,public,buiilt_2007,500155.0,buiilt,2007,Naves Construidas
21322,DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21323,DOM-CAN,La canela ,0.0,0.0,2003.0,2005.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21324,DOM-CDF,Parque Industrial CDF,19.49516261,-70.71634466,2014.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21325,DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988.0,0.0,private,buiilt_2007,493802.0,buiilt,2007,Naves Construidas
21326,DOM-CIB,Cibernetico ,18.45320537,-69.66257273,2001.0,0.0,mix,buiilt_2007,100000.0,buiilt,2007,Naves Construidas
21327,DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997.0,0.0,private,buiilt_2007,985000.0,buiilt,2007,Naves Construidas
21328,DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21329,DOM-COT,Cotui,19.03592402,-70.15049018,1990.0,2009.0,public,buiilt_2007,82965.0,buiilt,2007,Naves Construidas
21330,DOM-CRI,San Cristobal (Itabo) ,18.38627302,-70.04084591,1986.0,0.0,private,buiilt_2007,1713262.0,buiilt,2007,Naves Construidas
21331,DOM-CTQ,Parque Industrial CTQ ,19.42740185,-70.5940585,2015.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21332,DOM-DOS,Dos Rios  ,18.91241012,-70.37486281,2006.0,0.0,private,buiilt_2007,629460.0,buiilt,2007,Naves Construidas
21333,DOM-DPE,Don Pedro,0.0,0.0,2004.0,2007.0,private,buiilt_2007,26000.0,buiilt,2007,Naves Construidas
21334,DOM-ELV,Parque Industrial Elva Maria,19.45844729,-70.63018049,2017.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21335,DOM-EMI,Zona Franca Industrial Emimar ,19.42494677,-70.62298095,2014.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21336,DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988.0,0.0,public,buiilt_2007,528342.42,buiilt,2007,Naves Construidas
21337,DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995.0,0.0,private,buiilt_2007,35000.0,buiilt,2007,Naves Construidas
21338,DOM-FLO,La Flor Dominicana ,19.48619912,-70.62006966,2019.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21339,DOM-FRA,San Francisco de Macoris ,19.27537126,-70.28770858,1990.0,0.0,public,buiilt_2007,164584.0,buiilt,2007,Naves Construidas
21340,DOM-GLO,Global Zona Franca Ind. ,18.53043559,-70.01195079,1995.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
21341,DOM-GUR,Gurabo ,19.48857084,-70.658343,1993.0,0.0,private,buiilt_2007,487020.0,buiilt,2007,Naves Construidas
21342,DOM-HAI,Hainamosa ,18.51389836,-69.81584618,1988.0,0.0,private,buiilt_2007,481763.45,buiilt,2007,Naves Construidas
21343,DOM-HAN,Hato Nuevo ,18.53692314,-70.06254185,2001.0,0.0,public,buiilt_2007,149419.0,buiilt,2007,Naves Construidas
21344,DOM-HAT,Hato Mayor ,18.76258519,-69.26597733,1990.0,0.0,public,buiilt_2007,55019.0,buiilt,2007,Naves Construidas
21345,DOM-HER,Parque Z.F. Tecnologica de Herrera ,18.44047267,-69.9817525,2013.0,0.0,private,buiilt_2007,0.0,buiilt,2007,Naves Construidas
