asdf_id,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
89,0.190181307636,0.128135796597,0.0576415040116,0.133076594563,0.113680316235,0.0940095066453,0.166573020949,0.220265591855,0.163361170289,ADM2,89,89,DOM,DOM-ADM2-62336421B59188244,Estebanía,ADM2
90,1.57819130087,0.841032812014,0.729234092733,0.952484956356,0.931192206463,0.790168665859,1.0848563116,1.44049755152,1.35568303411,ADM2,90,90,DOM,DOM-ADM2-62336421B49514077,Higüey,ADM2
91,0.231850404311,0.108822057749,0.0862977407,0.108523954608,0.101972231011,0.0948665260495,0.189573873012,0.265243806057,0.248006983167,ADM2,91,91,DOM,DOM-ADM2-62336421B76797528,Río San Juan,ADM2
92,3.03276205325,2.74201429832,1.15329813039,2.69753194945,3.10511872812,1.95370898896,2.83621523459,3.00186591421,2.86785156634,ADM2,92,92,DOM,DOM-ADM2-62336421B58787563,Bisonó,ADM2
93,0.136316404117,0.0547473022867,0.0583091996154,0.0882948488965,0.0699807120138,0.0695501172107,0.12015597279,0.194244023227,0.124271804966,ADM2,93,93,DOM,DOM-ADM2-62336421B5530140,Villa Los Almácigos,ADM2
94,0.285635113632,0.0935809062142,0.138013399985,0.161594488849,0.130485156716,0.149253465485,0.264250368891,0.294825910404,0.316417953338,ADM2,94,94,DOM,DOM-ADM2-62336421B70852232,Peralvillo,ADM2
95,1.2918495758,0.738160717723,0.470926595091,0.884821251429,0.854327358954,0.597255905133,1.05046002834,1.29100545957,1.17564450178,ADM2,95,95,DOM,DOM-ADM2-62336421B29458505,Mao,ADM2
96,0.267637360289,0.202724849762,0.100812026207,0.282053085583,0.205269470306,0.179614403947,0.236479490571,0.332161768192,0.225654810541,ADM2,96,96,DOM,DOM-ADM2-62336421B77406025,Tamayo,ADM2
97,0.312446110138,0.161545433097,0.13359228544,0.163009392321,0.17271033159,0.174492610283,0.256615580345,0.494882266934,0.256987644296,ADM2,97,97,DOM,DOM-ADM2-62336421B38288991,Villa Riva,ADM2
98,1.85110548824,0.751694418272,0.614036955576,1.04691984823,1.0067704113,0.688790263135,1.51434549636,1.845600129,1.76401719815,ADM2,98,98,DOM,DOM-ADM2-62336421B68189672,Esperanza,ADM2
99,1.90228964778,1.49143200394,1.36947678636,1.49247532334,1.49175671032,1.54807288143,1.68078199363,1.92985298764,1.90472806985,ADM2,99,99,DOM,DOM-ADM2-62336421B10880169,Guayacanes,ADM2
100,1.98544014084,2.22280953672,1.55831417999,2.10369829738,2.07012781895,1.97962400996,2.12860566704,1.95922789073,2.03925823423,ADM2,100,100,DOM,DOM-ADM2-62336421B7103872,Barahona,ADM2
101,0.986014999073,0.463631257471,0.862622143524,0.739877272839,0.492027134493,0.658826582797,0.830820102963,1.10609935252,0.896057407495,ADM2,101,101,DOM,DOM-ADM2-62336421B55108079,Bonao,ADM2
102,0.566494643208,0.262344716937,0.112050499761,0.307772671696,0.259248143043,0.177962504987,0.451901389263,0.595647904017,0.519576139699,ADM2,102,102,DOM,DOM-ADM2-62336421B21553127,Pepillo Salcedo,ADM2
103,2.83874090989,1.28841414587,1.02272423652,1.64097005376,1.58075406733,1.20001264201,2.14989347847,2.73502783298,2.46135477283,ADM2,103,103,DOM,DOM-ADM2-62336421B29453696,La Vega,ADM2
104,0.195223110948,0.14444501392,0.187560036338,0.136595292026,0.136071433993,0.141650074403,0.161490797106,0.209297665491,0.172379847203,ADM2,104,104,DOM,DOM-ADM2-62336421B90330677,San José De Ocoa,ADM2
105,0.0985517338658,0.0328217824581,0.0333748225028,0.0532108548858,0.0545355455497,0.0307046711857,0.0908662095682,0.104253625799,0.085129579881,ADM2,105,105,DOM,DOM-ADM2-62336421B88117428,Rancho Arriba,ADM2
106,0.821199408999,0.538417489796,0.430326018703,0.63460855487,0.602730314257,0.519916556411,0.792081263654,0.851741416711,0.811984818603,ADM2,106,106,DOM,DOM-ADM2-62336421B20072103,Juan De Herrera,ADM2
107,0.327408959362,0.121435283673,0.104889407226,0.17243743201,0.15021815487,0.1243309505,0.258529489547,0.407397361034,0.284294811741,ADM2,107,107,DOM,DOM-ADM2-62336421B90778804,San Ignacio De Sabaneta,ADM2
108,2.63158491353,2.06736934975,0.685033439839,2.00149520501,2.1580082976,0.958762552325,2.31272513969,2.50180645358,2.54669358896,ADM2,108,108,DOM,DOM-ADM2-62336421B53297903,Villa González,ADM2
109,0.295076787444,0.159190964347,0.0666071252804,0.35330635624,0.204142382756,0.125884040753,0.364987885266,0.296301642615,0.27458047419,ADM2,109,109,DOM,DOM-ADM2-62336421B72256571,Vallejuelo,ADM2
110,0.443838793795,0.0895592535682,0.0787370792384,0.184890960417,0.132873066925,0.0987068755207,0.368600480663,0.480039117238,0.375186533905,ADM2,110,110,DOM,DOM-ADM2-62336421B29499713,Villa Isabela,ADM2
111,1.57261452847,0.71374725346,0.555450921535,0.612152220693,0.510666120366,0.676231460856,1.2729970229,1.62674716284,1.45487001435,ADM2,111,111,DOM,DOM-ADM2-62336421B39182567,Villa Tapia,ADM2
112,2.07950641746,1.02949859538,0.819477343289,1.48516407339,1.21636444911,1.01095172841,1.69302500285,2.53806703258,1.75500839373,ADM2,112,112,DOM,DOM-ADM2-62336421B99763360,Yaguate,ADM2
